App_Name, Date, Time, Rating, Comment_Upvotes, Review, Response_Date, Response_Time, Response,Priority
EatSure QuickiES Food Delivery,2025-02-26,22:06:51,1,0,Customer support services is very bad. I am order the chicken biryani but I received cockroach biryani I am asking to refund my money  the customer support executive is not responding. Don't choose this app,2025-02-26,22:22:06,Hi Parandhama! That is certainly not the experience we intend for our customers  and we apologize as your experience has been hampered. Kindly DM us your Order ID and contact number so that we can fix this for you. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-26,22:06:05,4,0,Good,2025-02-26,22:24:56,Hey Sumaiya! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-26,20:50:04,5,0,Good deals and reliable,2025-02-26,20:59:58,Hey Richa! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-26,20:48:01,5,0,Nice,2025-02-26,21:01:06,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,,,1,0,If cancel order means they not refund amount,,,,feature required
EatSure QuickiES Food Delivery,2025-02-26,20:12:42,4,0,Base was not crispy .taste was good,2025-02-26,20:28:16,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-26,19:52:26,5,0,U guys are excellent cost effective compared to Swiggy and zomato I got addicted to this now everytime ordering through this makes a better option.,2025-02-26,20:19:06,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Top Priority
EatSure QuickiES Food Delivery,2025-02-26,19:33:36,5,0,Excellent services,2025-02-26,19:55:37,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Top Priority
EatSure QuickiES Food Delivery,2025-02-26,19:32:34,1,0,I'm unable to add items to the cart and it says all the slots for today have been book  it's morning while I'm writing this review. Edit: I ordered for evening  had to select a different time slot. I paid for the order and it got cancelled from their end. I'm not getting a quick refund either. What's going on with this app??,2025-02-26,11:06:35,Hi Tanvesh! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),feature required
EatSure QuickiES Food Delivery,2025-02-26,19:05:58,5,0,Good can rely on it. Food was good not spicy can be given to elders and 👏😊,2025-02-26,19:18:45,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-26,18:55:19,1,0,I have ordered panner and chicken wrap in this app...very worst app...they cancelled my order..not even send my money back..i have send my num to that website i didn't get message yet,2025-02-26,16:59:49,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-26,18:48:41,2,0,"1 out of 4 orders are delivered in good condition and the rest are just pure ""idgaf"" styled food delivery",2025-02-26,18:57:32,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-26,18:11:58,5,0,The most mind amazing app for food ordering  amazing offers  crazy deals  in all the best out of all,2025-02-26,18:22:04,Hi Samuel! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-26,17:30:48,5,0,good application,2025-02-26,17:43:41,Hi Sahil! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),feature required
EatSure QuickiES Food Delivery,2025-02-26,16:51:33,1,0,Worst app  food quality is bad & there's no customer support to resolve our issue,2025-02-26,17:13:09,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-26,16:48:27,1,0,Worest experience,2025-02-26,17:09:10,Hi Hiba! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-26,16:47:41,5,0,Good app. Good interface. Limited choice of restaurants but works well for me.,2025-02-26,16:56:39,Hi There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-26,16:35:06,5,0,Fantastic app ❤️ but it's more cost,2025-02-26,16:58:24,Hi Shreenivas! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),feature required
EatSure QuickiES Food Delivery,2025-02-26,16:25:39,1,0,EatSure - Surely Eats Customers Money They delay the order  no one in customer team is acessible to assist in resolution except Chatbot  which itself doesn't understands the issue. Customer care team   in case you are lucky enough to connect  either lacks common sense or intelligence. They fail to understand that blunder has happened at their end. Happy to share transcripts of chat 4.20 pm update Finally issue has been resolved now to satisfaction. Thanks  atleast someone bothered to call.,2025-02-26,16:54:53,Hi There! Your satisfaction is our top priority  and we're committed to continually serving you delicious and safe meals. (AM),feature required
EatSure QuickiES Food Delivery,2025-02-26,16:20:25,5,0,chef manju you are amazing... food taste too good 😍,2025-02-26,16:34:08,Hi There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,,,5,0,Food is suprb 🤤 yummy... But pasta is little bit sour..,,,,Medium Priority
EatSure QuickiES Food Delivery,2025-02-26,13:34:27,1,0,Worst app ever,2025-02-26,13:48:49,Hi Aastha! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-26,13:32:08,5,0,Best food fresh food,2025-02-26,13:51:31,Hi Shubham! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-26,13:30:48,5,0,Pleasant experience every time,2025-02-26,13:52:27,Hi Rishvanth! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-26,09:01:50,4,0,Nice,2025-02-26,09:24:59,Hi There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-26,06:03:46,4,0,Very costly,2025-02-26,09:03:08,Hi Chaitanya! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),feature required
EatSure QuickiES Food Delivery,2025-02-26,02:43:38,4,0,best app for food 😋😋,2025-02-26,02:52:36,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Top Priority
EatSure QuickiES Food Delivery,2025-02-26,01:34:37,1,0,The quality of the food is not so good Don't order I had ordered chicken burger but it's only simple burger with tikki so disgusting !!,2025-02-26,02:04:52,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-26,00:44:51,1,0,They delayed the delivery till 2 hrs and no one is their to be cleared and very poor app,2025-02-26,01:20:52,Hi Ujjal! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,23:22:10,1,0,Guys   You deserve Zero. I have ordered food at 9:17 PM. Prior to booking it was showing 35mins. After booking  it was showing 48 mins. Then further delayed. Pathetic customer service. There is no option to cancel. Even after continuous follow up  finally ordered cancelled at 10:35 PM. Too bad you weren't able to deliver within a 2 km radius.,2025-02-25,23:36:07,Hi Bhavesh! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,22:38:11,5,0,Good,2025-02-25,22:50:41,Hi Pradeep! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-25,22:15:26,5,0,amazing,2025-02-25,22:27:23,Hey Sujata! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-25,22:10:37,1,0,Very bad app and service,2025-02-25,22:15:55,Hi Taufiq! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,21:18:46,1,0,Wrist service,2025-02-25,21:25:47,Hi Shweta! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-25,19:52:13,1,0,Worst food delivery app. customer care is irresponsible. Not an give refund amount. Don't use the app,2025-02-25,20:32:01,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,18:11:47,5,0,Yes great,2025-02-25,18:27:17,Hi Prashanth! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-25,18:01:07,1,0,Jala huwa food served karte hai  costomer support kuch kam ki nhi complete karne ke baad bhi koi mail reply nhi.,2025-02-25,18:18:52,Hi Kunal! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),feature required
EatSure QuickiES Food Delivery,2025-02-25,17:59:03,3,0,Splash screen text & image quality in pixel is very bad,2025-02-25,18:25:06,Hi Aakanksha! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. We will ensure that the relevant feedback is shared with the designated department. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,17:56:08,5,0,Excellent,2025-02-25,18:25:41,Hi Kamaljit! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-25,17:16:40,1,0,They deliver incomplete and wrong orders and when we try to raise issue  they don't even consider that. They blame it on delivery partner and restaurant and take absolutely zero responsibility of the mess up.,2025-02-25,17:41:09,Hi Pooja! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,16:21:22,2,0,The UI is so buggy now  when I want to scroll some of the UI sometimes snaps out of nowhere and then disappears when back down. It is very irritating.,2025-02-25,16:54:10,Hi Tejas! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-25,15:23:01,5,0,👍👍,2025-02-25,15:41:25,Hey There! Seeing that you had a 5-star experience is the best thing we could hope for! Your review means a lot to us. Thank you for choosing us. We look forward to serving you for many years to come! 😊(AM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-25,15:01:22,5,0,Service very bad not use this app,2025-02-25,15:06:10,Hi There! Thank you so much for the positive rating  as the review signifies that you are not satisfied with the product/service. Request you to share your contact details at goodness@eatsure.com  so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,14:39:51,5,0,"""Love the loyalty/Elite benefits!"" EatSure's Elite program makes ordering more rewarding with free delivery and discounts. A solid food delivery option! With affordable and heartwarming foods and snacks. And has the most aesthetic hub on Law College Road pune.",2025-02-25,14:57:52,Hi Adrina! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-25,14:35:35,1,0,EDIT -- DO NOT ORDER FROM HERE >>> The food quality isnt good. The delivery takes 1 hour  and no customer support. You just keep chatting with bots like an idiot. They are tempting people with just discounts  but frankly if you compare with other its all the same.,2025-02-25,15:04:01,Hi Vishal! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,14:35:17,5,0,The packing quality  Food quality I love it most. ♥️,2025-02-25,14:55:40,Hi There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-25,13:22:41,5,0,ONE OF THE BEST FOOD APP AND CUSTOMER EXECUTIVE IS VERY GOOD,2025-02-25,13:33:40,Hi Raushan! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-25,13:01:39,5,0,Good food,2025-02-25,13:31:45,Hi Sahil! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-25,12:51:38,1,0,Not available pincode,2025-02-25,13:29:38,Hi Manosish! Although we currently have a presence in many locations throughout India  we are in the process of expanding our reach nationwide. We will make sure to share any relevant feedback with the appropriate department. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,12:45:02,5,0,Good food nice box packing,2025-02-25,12:47:02,Hi Arjun! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),feature required
EatSure QuickiES Food Delivery,2025-02-25,12:37:34,5,0,The most cost efficient and 100% upto the mark tasting food restaurants only... Not going anywhere else but EatSure,2025-02-08,15:19:34,Hey Umang! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Top Priority
EatSure QuickiES Food Delivery,2025-02-25,12:17:00,5,0,My first choice to online food delivery app 👍👍,2025-02-25,12:45:44,Hi Ankita! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-25,10:48:49,5,0,Very good app and delivery,2025-02-25,11:09:01,Hi Milind! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-25,00:28:14,1,0,I ordered food from this app I received food very bad and this app customer experience very bad n support n serives is very badly,2025-02-25,00:37:03,Hi Pareek! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-25,00:17:30,2,1,Cannot login on two devices improve that Otherwise Great app Used this app rather than Zomato that shows double the cost for same thing,2025-02-25,00:25:46,Hi Ayush! We appreciate your suggestion and will definitely consider it as we continue to enhance our services. Thank you for helping us serve you better! (NM),feature required
EatSure QuickiES Food Delivery,2025-02-25,00:13:56,1,0,Very very disheartened second time ! I am so disappointed regarding quality of rice  i suggest you should probably look out for the cook not ordering again from this app ..!👎,2025-02-25,00:21:49,Hi Kunal! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-24,22:42:56,1,0,i ordered veg&subj biryani. there was single green pea  3-4 carrots in the name of vegetables. also paneer was very chewy. and who the hekk puts semi-cooked chopped onion slices in biryani to taste like salad. did not find birista and mint anywhere. i can cook this kind of biryani at home in 15 minutes in pressure cooker.,2025-02-24,22:53:12,Hi Nishant! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-24,22:35:47,4,0,delivery fast,2025-02-24,22:54:42,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-24,22:17:20,5,0,Fist time but good experience quality food,2025-02-24,22:37:11,Hey Kiran! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-24,22:13:03,1,0,Very bad Neither my order delivered now my Payment returned Worst customer support,2025-02-24,22:29:12,Hi Sandeep! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-24,22:07:47,5,0,App mast hai swiggy or Zomato Se Mera first time experience tha ye per excellent tha Aur agar ismein ek chij aur ho sake Jo students Bahar rah kar padhte Hain agar unko kuchh discount mil sake to aur bhi baithe rahi hai ho jaega 5 star Se jyada rating nahin De sakta hai ismein koi baat nahin yah meri taraf se 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟,2025-02-24,22:30:52,Hey Parth! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-24,22:00:39,1,0,Edit on 24th Feb - pathetic service.. Shame that I thought of this as a Lifesaver... Useless disappearing delivery persons. Will uninstall soon.,2025-02-24,22:04:55,Hi Prasenjit! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order ID and contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-24,21:59:36,5,0,Good,2025-02-24,22:06:06,Hey Sita! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-24,21:07:27,5,0,Delivery partner good,2025-02-24,21:21:47,Hey Ashish! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-24,20:45:27,5,0,Nice,2025-02-24,20:47:59,Hey Bhadresh! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-24,18:52:16,1,0,Very bad experience they have offer of 1+1 and asked me to paid extra money for the other one still delivered only pizza that to was cold and not fresh the whole experience was annoying and disheartening 💔💔,2025-02-24,19:00:49,Hi Sayed! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order Id and contact number at goodness@eatsure.com so that we can fix this for you. (RB),feature required
EatSure QuickiES Food Delivery,2025-02-24,18:49:37,5,0,Good app  delivered in 10-12 mins,2025-02-24,19:03:22,Hey There! Seeing that you had a 5-Star experience is the best thing we could hope for! Your review means a lot to us. Thank you for choosing us. We look forward to serving you for many years to come! 😊(RB),Medium Priority
EatSure QuickiES Food Delivery,2025-02-24,17:59:51,5,0,Nice,2025-02-24,18:18:55,Hey Suraj! Seeing that you had a 5-Star experience is the best thing we could hope for! Your review means a lot to us. Thank you for choosing us. We look forward to serving you for many years to come! 😊(RB),Medium Priority
EatSure QuickiES Food Delivery,2025-02-24,16:05:12,5,0,Must try very happy with order,2025-02-24,16:15:41,Hey Sameena! Seeing that you had a 5-Star experience is the best thing we could hope for! Your review means a lot to us. Thank you for choosing us. We look forward to serving you for many years to come! 😊(RB),feature required
EatSure QuickiES Food Delivery,2025-02-24,14:57:29,1,0,Worest service,2025-02-24,15:16:08,Hi Kiran! We would request you to please assist with the issue over goodness@eatsure.com  as the ratings signify that you are not satisfied with the product/service. Your complete comment would be helpful so that we get insights on the issue and get that resolved prior. (RB),Least Priority
EatSure QuickiES Food Delivery,2025-02-24,14:49:43,1,0,Most bakwas app. Food rates are very high and food quality is low. Please don't even try this app. Swiggy and zomato are way more better than this faltu app.,2025-02-24,14:56:52,Hi Darshana! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order Id and contact number at goodness@eatsure.com so that we can fix this for you. (RB),feature required
EatSure QuickiES Food Delivery,2025-02-24,14:07:30,5,0,It was a very good experience  the food also came within the given time  and the food quality was excellent.🤌 Will surely look forward to order from this app.,2025-02-24,14:16:38,Hi Tanishka! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-24,13:54:25,1,0,Last time I had ordered in this app   the item was out of stock the restaurant didn't even bother to inform us but just didn't send us the item later they sent us an alternative which was neither good nor satisfying our needs so I thought I would never order any food via this app,2025-02-24,14:18:19,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),Least Priority
EatSure QuickiES Food Delivery,2025-02-24,11:50:22,1,0,Quantity is adjusted in line with the price. Buy one get one free is literally both put together is equal to 1.,2025-02-24,12:07:51,Hi Simi! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (AM),feature required
EatSure QuickiES Food Delivery,2025-02-24,11:33:02,4,0,Good food,2025-02-24,11:37:58,Hi Jashritha! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-24,10:43:16,5,0,Awesome Service,2025-02-24,11:13:05,Hi There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Top Priority
EatSure QuickiES Food Delivery,2025-02-24,08:16:27,5,0,Very fast🚴三 Good👍,2025-02-24,09:07:07,Hi Himanshu! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (AM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-24,02:09:30,1,0,Everything is fake because it is a problem to add 150 rupees per 2 biryani after downloading the app  it is not like that  it is all fake  no one should download this app 😡😡😡😡😡😡😡😡,2025-02-24,02:22:59,Hi Sahil! We apologize for any inconvenience caused and assure you that this is not the experience we strive to provide our customers. To address this issue  kindly share your contact number with us at goodness@eatsure.com. (RB),feature required
EatSure QuickiES Food Delivery,2025-02-24,00:34:49,5,0,👍,2025-02-24,00:43:13,Hey Aliraza! Thanks for the twinkling 5 stars!! (RB),feature required
EatSure QuickiES Food Delivery,2025-02-24,00:01:17,2,0,To be honest  I didn't want to rate this app low because of it's cost effectiveness. But today when I ordered something for the first time  the estimated time that they showed on the app was 43 minutes. But it arrived in 1hr 10 mins. They kept showing it's running late. But since it was my first experience on this app  I'm disappointed.,2025-02-24,00:19:43,Hi Anagha! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your Order Id and contact number at goodness@eatsure.com so that we can fix this for you. (RB),Least Priority
